Date,Open,High,Low,Close,Volume
2014-09-30,31.07,31.07,31.07,31.07,0.0
2014-10-01,30.57,30.57,30.57,30.57,0.0
2014-10-02,30.33,30.33,30.33,30.33,0.0
2014-10-03,30.93,30.93,30.93,30.93,0.0
2014-10-06,31.07,31.07,31.07,30.93,144.0
2014-10-07,30.56,30.56,30.56,30.56,0.0
2014-10-08,30.38,30.38,30.38,30.38,0.0
2014-10-09,30.4,30.4,30.4,30.4,0.0
2014-10-10,30.01,30.01,30.01,29.97,1358.0
2014-10-13,29.75,29.75,29.75,29.75,0.0
2014-10-14,29.93,29.93,29.93,29.93,0.0
2014-10-15,29.29,29.29,29.29,29.29,0.0
2014-10-16,28.85,28.85,28.85,29.29,4852.0
2014-10-17,29.45,29.45,29.39,29.7,926.0
2014-10-20,29.71,29.89,29.62,29.62,5111.0
2014-10-21,29.95,30.04,29.95,30.08,828.0
2014-10-22,30.43,30.43,30.38,30.41,1398.0
2014-10-23,30.6,30.6,30.6,30.6,0.0
2014-10-24,30.63,30.63,30.53,30.51,2879.0
2014-10-27,30.4,30.4,30.4,30.4,0.0
2014-10-28,30.69,30.69,30.69,30.63,3258.0
2014-10-29,30.86,30.95,30.86,30.81,1458.0
2014-10-30,31.09,31.09,31.09,31.02,262.0
2014-10-31,31.51,31.51,31.51,31.51,0.0
2014-11-03,31.6,31.63,31.6,31.52,3896.0
2014-11-04,31.23,31.23,31.23,31.23,0.0
2014-11-05,31.64,31.64,31.64,31.48,160.0
2014-11-06,31.7,31.7,31.7,31.7,0.0
2014-11-07,31.8,31.8,31.8,31.8,0.0
2014-11-10,31.81,31.81,31.81,31.85,56.0
2014-11-11,31.92,31.92,31.92,31.92,0.0
2014-11-12,31.94,31.94,31.94,31.92,250.0
2014-11-13,32.2,32.27,32.2,32.19,880.0
2014-11-14,32.35,32.35,32.35,32.35,0.0
2014-11-17,32.28,32.28,32.28,32.28,0.0
2014-11-18,32.59,32.59,32.45,32.54,3360.0
2014-11-19,32.4,32.4,32.4,32.4,0.0
2014-11-20,32.42,32.42,32.42,32.42,0.0
2014-11-21,32.74,32.74,32.74,32.74,0.0
2014-11-24,32.78,32.78,32.78,32.65,427.0
2014-11-25,32.88,32.88,32.86,32.63,1027.0
2014-11-26,32.62,32.62,32.62,32.62,0.0
2014-11-27,32.7,32.7,32.7,32.76,1834.0
2014-11-28,32.87,32.87,32.79,32.87,304.0
2014-12-01,32.44,32.44,32.44,32.44,0.0
2014-12-02,32.64,32.73,32.61,32.76,3394.0
2014-12-03,32.67,32.67,32.67,32.67,0.0
2014-12-04,32.53,32.53,32.53,32.53,0.0
2014-12-05,32.96,32.96,32.96,32.96,0.0
2014-12-08,32.71,32.71,32.71,32.71,0.0
2014-12-09,32.15,32.44,32.15,32.17,956.0
2014-12-10,32.1,32.1,32.1,32.1,0.0
