Date,Open,High,Low,Close,Volume
"Mar 10, 2023",64.89,65.03,64.09,64.76,"46,415"
"Mar 09, 2023",66.67,66.83,66.46,66.53,"14,138"
"Mar 08, 2023",66.8,66.96,66.72,66.88,"11,128"
"Mar 07, 2023",66.78,67.11,66.76,66.96,"18,321"
"Mar 06, 2023",66.72,67.09,66.67,66.99,"12,507"
"Mar 03, 2023",66,66.55,65.98,66.55,"16,507"
"Mar 02, 2023",65.28,65.75,65.04,65.65,"7,671"
"Mar 01, 2023",65.51,65.89,65.46,65.35,"6,013"
"Feb 28, 2023",65.63,65.63,65.02,65.23,"15,001"
"Feb 27, 2023",66.07,66.18,65.88,65.83,"21,745"
"Feb 24, 2023",66.09,66.14,65.4,65.69,"29,157"
"Feb 23, 2023",65.89,66.23,65.77,65.79,"26,379"
"Feb 22, 2023",65.68,65.85,65.5,65.79,"14,740"
"Feb 21, 2023",66.61,67.69,65.82,65.81,"5,628"
"Feb 20, 2023",67.07,67.36,66.98,67.01,"14,095"
"Feb 17, 2023",67.42,67.43,66.96,66.96,"11,289"
"Feb 16, 2023",68.13,68.17,67.56,67.81,"9,492"
"Feb 15, 2023",67.19,67.8,67.19,67.82,"14,068"
"Feb 14, 2023",67.37,67.49,66.79,66.85,"15,133"
"Feb 13, 2023",66.97,67.15,66.92,67.17,"13,566"
"Feb 10, 2023",66.75,66.97,66.34,66.82,"11,154"
"Feb 09, 2023",67.61,67.7,67.16,67.14,"10,172"
"Feb 08, 2023",67.81,67.81,67.36,67.33,"9,418"
"Feb 07, 2023",67.49,67.7,67.36,67.48,"14,553"
"Feb 06, 2023",67.49,67.58,67.24,67.61,"38,201"
"Feb 03, 2023",67.34,68.11,67.07,68.15,"20,989"
"Feb 02, 2023",66.16,67.34,66.11,67.35,"22,258"
"Feb 01, 2023",65.66,65.66,65.39,65.6,"15,226"
"Jan 31, 2023",64.9,65.32,64.58,65.31,"16,812"
"Jan 30, 2023",65.05,65.25,64.75,65.08,"18,675"
"Jan 27, 2023",65.04,65.49,65.04,65.25,"12,155"
"Jan 26, 2023",64.83,65.07,64.72,64.81,"6,183"
"Jan 25, 2023",64.46,64.79,63.98,64.28,"8,193"
"Jan 24, 2023",64.71,64.93,64.59,64.94,"12,031"
"Jan 23, 2023",63.99,64.8,63.88,64.74,"7,478"
"Jan 20, 2023",63.38,63.51,63.23,63.6,"7,211"
"Jan 19, 2023",63.65,63.68,62.99,62.99,"8,972"
"Jan 18, 2023",64.66,64.67,64.08,64.04,"26,214"
"Jan 17, 2023",64.92,64.94,64.68,64.7,"13,089"
"Jan 16, 2023",64.98,65.12,64.79,65.07,"8,525"
"Jan 13, 2023",64.66,64.77,64.44,64.72,"12,909"
"Jan 12, 2023",64.64,64.93,64.5,64.66,"33,238"
"Jan 11, 2023",63.87,64.39,63.87,64.33,"13,544"
"Jan 10, 2023",63.4,63.67,63.31,63.49,"19,543"
"Jan 09, 2023",63.57,64.06,63.57,64.07,"9,977"
"Jan 06, 2023",63.4,63.91,63.33,63.59,"10,469"
"Jan 05, 2023",63.24,63.51,63.21,63.24,"6,280"
"Jan 04, 2023",63.02,63.27,62.81,63.28,"12,791"
"Jan 03, 2023",63.15,64.02,62.71,62.83,"23,215"
"Dec 30, 2022",62.78,62.78,62.57,62.6,"7,198"
"Dec 29, 2022",62.14,62.92,62.05,62.81,"9,848"
"Dec 28, 2022",62.88,62.91,62.3,62.33,761
"Dec 23, 2022",62.53,62.61,62.44,62.48,"15,527"
"Dec 22, 2022",63.05,63.15,62.3,62.28,"17,389"
"Dec 21, 2022",62.46,62.92,61.98,63.08,"2,950"
"Dec 20, 2022",61.7,62.06,61.4,61.78,"14,325"
"Dec 19, 2022",62.01,62.19,61.84,61.83,"7,956"
"Dec 16, 2022",62.3,62.54,61.84,62.01,"8,774"
"Dec 15, 2022",63.06,63.2,62.51,62.45,"14,770"
"Dec 14, 2022",63.77,64.02,63.68,63.92,"2,103"
"Dec 13, 2022",64.13,64.87,63.71,64.08,"7,177"
"Dec 12, 2022",63.13,63.36,63,63.28,"5,879"
"Dec 09, 2022",63.57,63.66,63.11,63.35,"4,653"
"Dec 08, 2022",63.36,63.54,63.28,63.49,"4,544"
"Dec 07, 2022",63.59,63.65,63.14,63.26,"17,135"
"Dec 06, 2022",64.05,64.34,63.28,63.39,"4,710"
"Dec 05, 2022",64.54,64.7,64.4,64.53,"4,116"
"Dec 02, 2022",64.85,64.94,64.37,64.61,"9,678"
"Dec 01, 2022",65.82,65.82,64.6,64.86,"4,885"
"Nov 30, 2022",64.75,64.81,64.5,64.71,"6,495"
"Nov 29, 2022",64.72,64.72,64.36,64.33,"3,234"
"Nov 28, 2022",64.71,64.84,64.48,64.72,"9,338"
"Nov 25, 2022",64.94,65.09,64.87,64.94,"3,966"
"Nov 24, 2022",65.05,65.2,64.88,64.89,"6,829"
"Nov 23, 2022",65.47,65.48,64.9,64.89,"8,480"
"Nov 22, 2022",64.77,65.03,64.72,65.13,"15,424"
"Nov 21, 2022",64.96,65.11,64.86,64.9,"41,012"
"Nov 18, 2022",64.61,64.75,64.55,64.71,"3,315"
"Nov 17, 2022",64.87,64.9,64.57,64.78,"8,935"
"Nov 16, 2022",65.57,65.61,64.97,65.05,"13,953"
"Nov 15, 2022",65.56,65.68,65.37,65.64,"9,826"
"Nov 14, 2022",65.63,66.13,65.53,65.93,"53,525"
"Nov 11, 2022",65.5,65.89,65.38,65.37,"37,940"
"Nov 10, 2022",63.86,65.23,63.83,65.21,"22,185"
"Nov 09, 2022",64.55,64.55,64.14,64.42,"11,445"
"Nov 08, 2022",64.12,64.35,64.11,64.32,"6,838"
"Nov 07, 2022",64.08,64.08,63.67,63.81,"8,313"
"Nov 04, 2022",64.07,64.7,63.91,63.99,"27,648"
"Nov 03, 2022",63.53,64.09,63.41,64.18,"32,958"
"Nov 02, 2022",64.33,64.33,63.9,63.96,"7,636"
"Nov 01, 2022",64.71,64.77,64.11,64.29,"23,221"
"Oct 31, 2022",63.98,64.25,63.75,64.2,"12,056"
"Oct 28, 2022",62.65,63.62,62.65,63.53,"18,318"
"Oct 27, 2022",63.41,63.44,63.09,63.32,"17,215"
"Oct 26, 2022",63.34,63.9,63.2,63.85,"6,138"
"Oct 25, 2022",64.08,64.12,63.37,63.77,"29,518"
"Oct 24, 2022",62.72,63.72,62.6,63.55,"40,625"
"Oct 21, 2022",62.52,63.15,62.38,62.85,"11,005"
"Oct 20, 2022",62.54,63.04,62.52,62.83,"10,764"
"Oct 19, 2022",63.11,63.26,62.78,62.86,"11,200"
"Oct 18, 2022",62.81,63.45,62.63,62.62,"30,721"
"Oct 17, 2022",61.57,62.09,61.39,61.69,"25,594"
"Oct 14, 2022",62.34,62.76,61.67,61.86,"22,315"
"Oct 13, 2022",61.9,61.9,59.87,61.13,"14,227"
"Oct 12, 2022",62.75,62.75,62.01,62.08,"27,185"
"Oct 11, 2022",62.09,62.38,61.97,62.15,"26,384"
"Oct 10, 2022",62.77,63.16,62.67,62.79,"34,885"
"Oct 07, 2022",64,64.12,63.26,63.24,"7,034"
"Oct 06, 2022",63.99,64.13,63.82,64.42,"12,556"
"Oct 05, 2022",63.13,63.68,63.12,63.65,"21,324"
"Oct 04, 2022",62.68,63.65,62.68,63.52,"24,122"
"Oct 03, 2022",61.72,62.2,61.13,62.06,"12,441"
"Sep 30, 2022",62.59,63.04,62.39,62.76,"12,834"
"Sep 29, 2022",65.01,65.02,62.8,62.87,"27,916"
"Sep 28, 2022",64.37,65.36,64,65.18,"16,496"
"Sep 27, 2022",65.14,65.49,64.83,64.79,"29,033"
"Sep 26, 2022",65.48,65.88,64.15,64.59,"110,273"
"Sep 23, 2022",63.98,64.63,63.55,64.45,"16,746"
"Sep 22, 2022",64.26,64.45,63.86,63.9,"6,708"
"Sep 21, 2022",64.98,65.3,64.76,65.26,"10,082"
"Sep 20, 2022",65.46,65.46,64.56,64.74,"14,373"
"Sep 16, 2022",65.09,65.29,64.7,64.69,"9,547"
"Sep 15, 2022",65.86,65.86,65.23,65.43,"6,526"
"Sep 14, 2022",66.05,66.05,65.53,65.68,"65,190"
"Sep 13, 2022",67.52,67.73,66.35,66.36,"58,946"
"Sep 12, 2022",67.02,67.44,67.01,67.38,"25,553"
"Sep 09, 2022",66.67,67.13,66.36,67.07,"21,237"
"Sep 08, 2022",66.22,66.48,65.79,66.5,"8,556"
"Sep 07, 2022",65.24,65.79,64.92,65.64,"11,865"
"Sep 06, 2022",65.43,65.58,64.85,65.24,"27,370"
"Sep 05, 2022",65.76,65.79,65.45,65.64,"10,517"
"Sep 02, 2022",65.57,66.35,65.54,66.4,"9,021"
"Sep 01, 2022",65.26,65.42,64.99,65,"27,462"
"Aug 31, 2022",65.8,66.38,65.77,65.78,"8,213"
"Aug 30, 2022",66.36,66.71,65.7,65.82,"31,074"
"Aug 26, 2022",68.05,68.05,66.95,66.92,"13,808"
"Aug 25, 2022",67.72,67.72,67.37,67.49,"23,239"
"Aug 24, 2022",66.83,67.41,66.71,67.35,"25,600"
"Aug 23, 2022",67.15,67.53,66.86,66.85,"22,202"
"Aug 22, 2022",68.12,68.12,67.39,67.54,"27,985"
"Aug 19, 2022",68.45,68.74,68.4,68.37,"22,039"
"Aug 18, 2022",67.85,68.24,67.83,68.28,"14,737"
"Aug 17, 2022",68.22,68.22,67.75,67.86,"24,572"
"Aug 16, 2022",68.37,68.47,67.91,68.11,"26,921"
"Aug 15, 2022",67.83,67.94,67.53,67.93,"17,252"
"Aug 12, 2022",66.68,67.42,66.68,67.41,"5,150"
"Aug 11, 2022",66.67,67,66.57,66.83,"16,636"
"Aug 10, 2022",65.95,66.6,65.74,66.28,"13,617"
"Aug 09, 2022",66.11,66.22,65.75,65.86,"15,467"
"Aug 08, 2022",66.16,66.57,66.16,66.36,"25,290"
"Aug 05, 2022",65.94,66.17,65.76,65.87,"6,076"
"Aug 04, 2022",65.76,66.27,65.68,65.82,"6,249"
"Aug 03, 2022",65.18,65.68,64.77,65.72,"3,126"
"Aug 02, 2022",64.71,65.03,64.65,65.03,"11,036"
"Aug 01, 2022",65.39,65.4,64.71,65.16,"8,391"
"Jul 29, 2022",64.74,65.6,64.74,65.03,"12,898"
"Jul 28, 2022",63.97,64.21,63.65,64.51,"6,406"
"Jul 27, 2022",63.55,63.67,63.51,63.85,"1,278"
"Jul 26, 2022",63.9,64,63.35,63.3,"6,445"
"Jul 25, 2022",64.04,64.12,63.73,63.88,"9,698"
"Jul 22, 2022",64.3,64.66,64.2,64.07,"6,962"
"Jul 21, 2022",63.9,64.25,63.83,64.08,"13,132"
"Jul 20, 2022",63.48,63.74,63.43,63.97,"7,868"
"Jul 19, 2022",62.28,63,62.05,63.11,"7,899"
"Jul 18, 2022",63.01,63.11,62.62,62.74,"35,139"
"Jul 15, 2022",62.15,62.78,61.89,62.72,"3,012"
"Jul 14, 2022",61.9,61.9,61.2,61.51,"15,493"
"Jul 13, 2022",62.34,62.41,61.41,61.85,"8,304"
"Jul 12, 2022",62.52,62.9,62.44,62.74,"14,691"
"Jul 11, 2022",62.43,62.91,62.4,62.79,"11,353"
"Jul 08, 2022",63.02,63.03,62.67,62.99,"11,013"
"Jul 07, 2022",62.46,62.74,62.34,62.66,"4,003"
"Jul 06, 2022",61.92,62.41,61.92,62.06,"3,820"
"Jul 05, 2022",61.75,61.75,60.92,61.15,"15,693"
"Jul 04, 2022",61.25,61.37,61.19,61.36,"9,574"
