interval,buy_size,holding_value,money_value,ratio
1,4100,204110.38285321227,1600.0,2.0571038285321226
1,3100,204323.61268399577,800.0,2.051236126839958
1,4600,201599.84899384715,3400.0,2.0499984899384716
1,3600,200951.7635881279,2800.0,2.037517635881279
1,2600,202490.34921907083,1200.0,2.0369034921907083
1,2100,200514.9713468957,1300.0,2.018149713468957
1,1600,198375.49605757048,800.0,1.9917549605757048
1,600,197446.9973476289,400.0,1.978469973476289
8,2600,195824.60774768092,1200.0,1.9702460774768091
8,3100,195834.02520082425,800.0,1.9663402520082425
15,4100,194579.92462152938,1600.0,1.9617992462152938
8,2100,194834.28000530574,1300.0,1.9613428000530575
1,1100,194204.92284907761,1000.0,1.9520492284907762
15,4600,191237.745656889,3400.0,1.9463774565688898
15,3600,191529.45661636823,2800.0,1.9432945661636822
8,4100,192320.90095627218,1600.0,1.9392090095627217
8,3600,191021.45964566583,2800.0,1.9382145964566584
8,4600,188923.6300559048,3400.0,1.923236300559048
22,4600,188717.42997154463,3400.0,1.9211742997154462
15,3100,191096.5413047301,800.0,1.918965413047301
22,4100,188152.22858931124,1600.0,1.8975222858931124
8,1600,188640.98771308095,800.0,1.8944098771308095
15,2600,184415.7641061298,1200.0,1.8561576410612979
22,3600,181482.45584501026,2800.0,1.8428245584501026
29,4600,177593.3334386427,3400.0,1.809933334386427
22,3100,179053.15485778966,800.0,1.7985315485778965
29,4100,176436.69018833982,1600.0,1.7803669018833983
15,2100,176668.5038940369,1300.0,1.779685038940369
8,1100,175005.50668144404,1000.0,1.7600550668144403
36,4600,170817.8778745076,3400.0,1.742178778745076
22,2600,172476.2943711819,1200.0,1.736762943711819
29,3600,170484.36438102467,2800.0,1.7328436438102468
36,4100,170250.44787556652,1600.0,1.7185044787556651
29,3100,168604.0773546872,800.0,1.694040773546872
15,1600,168161.29201218925,800.0,1.6896129201218926
43,4600,164733.86147420693,3400.0,1.6813386147420692
36,3600,164122.836268603,2800.0,1.6692283626860298
22,2100,165401.34698417308,1300.0,1.667013469841731
43,4100,163363.91260944566,1600.0,1.6496391260944565
29,2600,162939.135398209,1200.0,1.6413913539820901
36,3100,162975.83620405462,800.0,1.6377583620405463
43,3600,158101.82890395398,2800.0,1.60901828903954
22,1600,157541.97847365637,800.0,1.5834197847365636
36,2600,156501.36652570684,1200.0,1.5770136652570683
29,2100,156303.98446988632,1300.0,1.5760398446988633
15,1100,156538.03657549946,1000.0,1.5753803657549945
8,600,156447.77180218452,400.0,1.5684777180218452
43,3100,155952.91109251828,800.0,1.5675291109251828
43,2600,149000.56810866253,1200.0,1.5020056810866254
36,2100,147807.12140706106,1300.0,1.4910712140706106
29,1600,144859.61534688206,800.0,1.4565961534688205
1,100,143933.23132725336,0.0,1.4393323132725337
22,1100,140930.96758084735,1000.0,1.4193096758084736
43,2100,139137.41524718556,1300.0,1.4043741524718556
36,1600,128705.44067095766,8800.0,1.3750544067095767
15,600,112426.26124229867,20200.0,1.3262626124229868
29,1100,109576.47746718173,21900.0,1.3147647746718174
43,1600,107547.82047465294,23200.0,1.3074782047465294
36,1100,88484.99046128338,37300.0,1.2578499046128337
22,600,78062.38361584801,44800.0,1.22862383615848
43,1100,73939.12657632392,47200.0,1.2113912657632393
29,600,59768.987709371846,57400.0,1.1716898770937183
36,600,48264.54025160913,65800.0,1.1406454025160913
43,600,40330.43267799487,71200.0,1.1153043267799485
8,100,33427.62123998737,76300.0,1.0972762123998738
15,100,18737.710207049782,86700.0,1.0543771020704977
22,100,13010.397269307992,90800.0,1.0381039726930799
29,100,9961.497951561978,92900.0,1.0286149795156199
36,100,8044.090041934854,94300.0,1.0234409004193485
43,100,6721.738779665809,95200.0,1.0192173877966582
